adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
false,/c2cb0lLvbzvHlSUo35W8CfP0kYO.jpg,53,714968,en,Plan A,"Germany 1945, Max, a Jewish Holocaust survivor, meets a radical group of Jewish resistance fighters, who, like him, lost all hope for their future after they were robbed of their existence and their entire families were killed by the Nazis. They dream of retaliation on an epic scale for the Jewish people. An eye for an eye, a tooth for a tooth. Max starts identifying with the group's monstrous plans...",132.005,/hPk01ALAAuQoXC8XL2dSqqbsQ4d.jpg,2021-08-16,Plan A,false,5.9,48
false,/4rsomWxlqnHt3muGYK06auhOib6.jpg,10749;18,818647,es,A través de mi ventana,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",537.837,/6gg7fvKc1ZxP9yCczweSxIGYp4S.jpg,2022-02-04,Through My Window,false,7.7,1665
false,/u2HrA8BMvvHURz5mVOIe9EM1zGx.jpg,12;16;35;10751,9487,en,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",93.418,/hFamOus53922agTlKxhcL7ngJ9h.jpg,1998-11-25,A Bug's Life,false,7,7601
false,/7hzK0D7NGTy1MDJkWL9IQKrTmfq.jpg,35,845404,en,Tyler Perry's A Madea Homecoming,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,231.016,/vzX5GNRTXsAltdU1tfASmZbzYmv.jpg,2022-02-25,Tyler Perry's A Madea Homecoming,false,6.8,55
false,/x78cvxbmpBNcHON7x3Iv8vih5Sj.jpg,16;35;10751,774741,en,Diary of a Wimpy Kid,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous  he just has to survive middle school first.,368.08,/obg6lWuNaZkoSlwrVG4VVk4SmT.jpg,2021-12-03,Diary of a Wimpy Kid,false,6.4,213
false,/8s4h9friP6Ci3adRGahHARVd76E.jpg,10751;16;35;878,379686,en,Space Jam: A New Legacy,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",308.611,/5bFK5d3mVTAvBCXi5NPWH0tYjKl.jpg,2021-07-08,Space Jam: A New Legacy,false,7.1,3046
false,/edXuLjxjYu1SkyMHd55hRasME8b.jpg,27,636879,en,A Nun's Curse,A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.,78.768,/eutNRwSguV0NCx7BNAXOibWzjP6.jpg,2020-05-12,A Nun's Curse,false,6.2,78
false,/fmIp40ev4VGquK2bMo52PQgaV2d.jpg,16;10751;12;14;35,529203,en,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",281.072,/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg,2020-11-25,The Croods: A New Age,false,7.6,2935
false,/pIlIXdRiMzWMnjcPMyV5IBEvMwC.jpg,35;10749,944664,es,Hasta que nos volvamos a encontrar,The opposite lives of a workaholic architect and a fiery artist are upended when their chance encounter in breathtaking Peru shifts their views on life.,336.655,/11SOeFmUEHahuyMOxxT1wdJ3iJs.jpg,2022-03-18,Without Saying Goodbye,false,6.8,51
false,/l2Szl45c6YTszCqpNZVcU8b0M8P.jpg,99,662244,en,Fantastic Beasts: A Natural History,"Stephen Fry embarks on a journey to discover the stories behind some of the world's most fantastic beasts that have inspired myths and legends in history, story-telling and film.",253.985,/icqVeNNQPZ6vzQFirqcAHGchHCB.jpg,2022-02-27,Fantastic Beasts: A Natural History,false,6.6,10
false,/2ddVTlMyATZdvUHE7DPExA2X6xF.jpg,12;35;14;10751;18,381289,en,A Dog's Purpose,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,60.59,/3jcNvhtVQe5Neoffdic39fRactM.jpg,2017-01-19,A Dog's Purpose,false,7.6,2694
false,/dqaobSdoRTEA3rRDhiWnrtNd7fB.jpg,27,758510,pt,A Gruta,"The only one survivor of a mysterious murderer that killed his wife, friends and the tourism guide who leaded them through a interdicted grotto, a boy become the only suspect to make the crime. He, however, claim for his innocence saying that your wife killed those people as she was possessed by an evil force. Refusing to talk to police officers who are in charge for the crime investigation, he asks for help to a nun.",37.076,/nBdoS8tjWubpEyQnqmM6tpZR3GU.jpg,2020-10-29,A Gruta,false,6.4,65
false,/z2UtGA1WggESspi6KOXeo66lvLx.jpg,878;53;27,520763,en,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",196.606,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,2021-05-21,A Quiet Place Part II,false,7.6,4160
false,/iEIcBVnttD9KOnpxtN1adVqKQkv.jpg,16;10751;35;14,741074,en,Once Upon a Snowman,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olafs first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",120.241,/hddzYJtfYYeMDOQVcH58n8m1W3A.jpg,2020-10-23,Once Upon a Snowman,false,6.9,421
false,/akKBMXHEesqfuoYFt7LaRptFAO0.jpg,35;27,139038,en,A Haunted House,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",76.019,/skQt53YE2iyOftXj5afJkHmYxLW.jpg,2013-01-11,A Haunted House,false,5.7,1415
false,/5uSmHqbJrGDPm0JgT4pP4dgnuYM.jpg,35,37735,en,Easy A,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",46.354,/v5f1qO6NJnxWgONgkYg21TW39DT.jpg,2010-09-16,Easy A,false,6.8,5907
false,/roYyPiQDQKmIKUEhO912693tSja.jpg,27;18;878,447332,en,A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,72.516,/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,2018-04-03,A Quiet Place,false,7.4,11496
false,/i109vzdCkG7W3H9FxHmfpZjgh61.jpg,10751;12;18,522518,en,A Dog's Journey,A dog finds the meaning of his own existence through the lives of the humans he meets.,47.667,/wquJChp0NpoqthYdE3YjXNNxvVC.jpg,2019-05-03,A Dog's Journey,false,8.1,1091
false,/odKqOY6VE6C59YAdGHB0b5Havye.jpg,10751;12;14,615666,en,A Boy Called Christmas,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible&",104.331,/1sRejtiHOZGggZd9RcmdqbapLM5.jpg,2021-11-25,A Boy Called Christmas,false,7.6,426
false,/w7gm4erjkBJXcO0cnYbVEACu7Vc.jpg,53;28;12;35;80,34544,en,The A-Team,"A group of Iraq War veterans goes on the run from U.S. military forces while they try to clear their names after being framed for a crime they didn't commit. Along the way, Col. Hannibal Smith, Capt. H.M. Howling Mad Murdock , Sgt. Bosco B.A. Baracus, and Lt. Templeton Faceman Peck help out various people they encounter.",64.635,/bkAWEx5g5tvRPjtDQyvIZ7LRxQm.jpg,2010-06-09,The A-Team,false,6.4,3852
